StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q16,Q2,Q3,Q4,Q6_1,Q6_2,Q6_3,Q6_4,Q7_1,Q7_2,Q8_1,Q9_1,Q9_2,Q10_1,Q11_1,Q11_2,Q12_1,Q13_1,Q13_2,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q14_12
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Dear Participant,



I invite you to contribute to this study on leadership and organizational change by sharing your insights. Even if the questions are in the present tense, feel free to refer to your past work experience.


Please be assured that I am dedicated to protecting your data. All information collected during this study will be processed with the utmost confidentiality and anonymized by default (No data is shared with third parties). Your thoughtful responses are highly valued and will significantly contribute to our understanding of workplace practices. Participation is voluntary; you can provide as much or as little information as you feel comfortable.



I appreciate your willingness to participate in this research. Your unique perspective is essential to its integrity. Please proceed at your convenience.",How old are you?,"What is your gender? 
(Please select the option that best describes you.)",What category describes your present or previous working industry best?,"Empowerment: 
Please specify to which degree you are agreeing with the following statements
(1 = low agreement; 5 = high agreement) - My manager gives me the information I need to do my work well.","Empowerment: 
Please specify to which degree you are agreeing with the following statements
(1 = low agreement; 5 = high agreement) - My manager helps me to further develop myself.","Empowerment: 
Please specify to which degree you are agreeing with the following statements
(1 = low agreement; 5 = high agreement) - My manager encourages his/her staff to come up with new ideas.","Empowerment: 
Please specify to which degree you are agreeing with the following statements
(1 = low agreement; 5 = high agreement) - My manager gives me the authority to take decisions which make work easier for me.","Standing Back: 
 Please specify to which degree you are agreeing with the following statements
 (1 = low agreement; 5 = high agreement) - My manager keeps himself/herself in the background and gives credits to others.","Standing Back: 
 Please specify to which degree you are agreeing with the following statements
 (1 = low agreement; 5 = high agreement) - My manager is not chasing recognition or rewards for the things he/she does for others.","Accountability: 
Please specify to which degree you are agreeing with the following statements
(1 = low agreement; 5 = high agreement) - My manager holds me responsible for the work I carry out.","Forgiveness:
Please specify to which degree you are agreeing with the following statements 
(1 = low agreement; 5 = high agreement) - My manager keeps criticizing people for the mistakes they have made in their work.","Forgiveness:
Please specify to which degree you are agreeing with the following statements 
(1 = low agreement; 5 = high agreement) - My manager maintains a hard attitude towards people who have offended him/her at work.","Courage:

Please specify to which degree you are agreeing with the following statements
(1 = low agreement; 5 = high agreement) - My manager takes risks even when he/she is not certain of the support from his/her own manager.","Authenticity: 
Please specify to which degree you are agreeing with the following statements (1 = low agreement; 5 = high agreement) - My manager is open about his/her limitations and weaknesses.","Authenticity: 
Please specify to which degree you are agreeing with the following statements (1 = low agreement; 5 = high agreement) - My manager is often touched by the things he/she sees happening around him/her.","Humility:
Please specify to which degree you are agreeing with the following statements
(1 = low agreement; 5 = high agreement) - My manager admits his/her mistakes to his/her superior.","Stewardship:
Please specify to which degree you are agreeing with the following statements
 (1 = low agreement; 5 = high agreement) - My manager has a long-term vision.","Stewardship:
Please specify to which degree you are agreeing with the following statements
 (1 = low agreement; 5 = high agreement) - My manager emphasizes the societal responsibility of our work.","Organizational Change: 
Please specify to which degree you are agreeing with the following statements
(1 = low agreement; 5 = high agreement) - Significant changes within the organization occur frequently.","Organizational Change: 
Please specify to which degree you are agreeing with the following statements
(1 = low agreement; 5 = high agreement) - Change is most often triggered by market trends, internal innovation, or regulatory changes.","Organizational Change: 
Please specify to which degree you are agreeing with the following statements
(1 = low agreement; 5 = high agreement) - The organization is well-prepared to implement changes when they are needed.","Organizational Change: 
Please specify to which degree you are agreeing with the following statements
(1 = low agreement; 5 = high agreement) - There is a formal change management process or team in place","Organizational Change: 
Please specify to which degree you are agreeing with the following statements
(1 = low agreement; 5 = high agreement) - Employees are involved in the change process within the organization.","Organizational Change: 
Please specify to which degree you are agreeing with the following statements
(1 = low agreement; 5 = high agreement) - New changes are implemented effectively within the organization.","Organizational Change: 
Please specify to which degree you are agreeing with the following statements
(1 = low agreement; 5 = high agreement) - There are mechanisms in place for ongoing monitoring and evaluation of the outcomes of change.","Organizational Change: 
Please specify to which degree you are agreeing with the following statements
(1 = low agreement; 5 = high agreement) - Employees adopt new changes introduced by the organization quickly.","Organizational Change: 
Please specify to which degree you are agreeing with the following statements
(1 = low agreement; 5 = high agreement) - Resistance to change within the organization is understood and managed effectively.","Organizational Change: 
Please specify to which degree you are agreeing with the following statements
(1 = low agreement; 5 = high agreement) - The organization learns from the outcomes of past changes.","Organizational Change: 
Please specify to which degree you are agreeing with the following statements
(1 = low agreement; 5 = high agreement) - A high percentage of organizational changes are successful.","Organizational Change: 
Please specify to which degree you are agreeing with the following statements
(1 = low agreement; 5 = high agreement) - Changes align with the long-term strategic goals of the organization."
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID16""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID14_4""}","{""ImportId"":""QID14_5""}","{""ImportId"":""QID14_6""}","{""ImportId"":""QID14_7""}","{""ImportId"":""QID14_8""}","{""ImportId"":""QID14_9""}","{""ImportId"":""QID14_10""}","{""ImportId"":""QID14_11""}","{""ImportId"":""QID14_12""}"
2024-03-14 18:33:50,2024-03-14 18:36:27,IP Address,185.134.146.223,100,156,True,2024-03-14 18:36:28,R_2VCt9eV6f2lK0LL,,,,,53.3297,-6.2708,anonymous,EN,I agree,22,Female,Consulting,3,3,2,4,3,4,2,3,3,3,3,3,5,3,2,4,3,2,2,4,2,3,3,2,4,4,3
2024-03-15 09:34:08,2024-03-15 09:37:07,Survey Preview,,100,179,True,2024-03-15 09:37:09,R_1TyLXcmMmI6Sh0m,,,,,53.3297,-6.2708,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-15 11:33:07,2024-03-15 11:34:29,IP Address,185.134.146.223,100,81,True,2024-03-15 11:34:29,R_3CT0Ig5Z2u8wJ0d,,,,,53.3297,-6.2708,anonymous,EN,I agree,22,Female,Consulting,2,4,3,5,2,1,4,3,4,2,5,5,4,4,5,2,5,3,2,4,3,4,5,3,4,4,2
2024-03-15 12:42:38,2024-03-15 12:43:27,IP Address,185.134.146.231,100,49,True,2024-03-15 12:43:28,R_3uaPFOd2ALkSfzr,,,,,53.3297,-6.2708,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-15 13:22:26,2024-03-15 13:24:42,IP Address,178.197.195.87,100,135,True,2024-03-15 13:24:42,R_25L0TmLDB3HJpqF,,,,,46.5558,6.6385,anonymous,EN,I agree,26,Female,Finance and Insurance,4,5,4,4,3,2,2,1,1,3,3,3,2,5,2,3,2,2,1,2,2,3,2,5,4,3,3
2024-03-15 16:38:47,2024-03-15 16:41:00,IP Address,178.197.218.61,100,132,True,2024-03-15 16:41:01,R_6GB86v2sfZRlJLj,,,,,47.3614,8.4899,anonymous,EN,I agree,,Male,Consulting,5,5,5,5,5,5,4,,,3,5,5,3,3,3,5,5,5,3,4,4,3,4,3,3,3,5
2024-03-15 18:25:58,2024-03-15 18:32:08,IP Address,93.82.158.234,100,369,True,2024-03-15 18:32:08,R_1DIRBpgM3jagvS2,,,,,47.1521,9.8166,anonymous,EN,I agree,40,Male,Manufacturing and Industrial,3,2,1,4,2,2,4,3,4,4,2,,2,,,2,3,2,,4,3,3,2,2,2,3,4
2024-03-15 20:28:24,2024-03-15 20:32:35,IP Address,172.58.188.251,100,250,True,2024-03-15 20:32:35,R_7CDbufL5fXdz7nD,,,,,38.9994,-77.0336,anonymous,EN,I agree,22,Female,Information Technology and Services,4,4,5,5,5,5,4,1,1,3,5,4,4,5,4,4,3,4,3,4,3,4,4,4,3,4,5
